date,pm25,pm10,o3,no2,so2,co
2014-06-02,98.0,57.0,103.0,26.0,4.0,6.0
2014-06-03,116.0,75.0,96.0,29.0,6.0,7.0
2014-06-04,147.0,80.0,122.0,26.0,6.0,8.0
2014-06-05,151.0,73.0,35.0,21.0,8.0,10.0
2014-06-06,115.0,25.0,45.0,16.0,1.0,3.0
2014-06-07,42.0,65.0,62.0,33.0,5.0,7.0
2014-06-08,112.0,51.0,73.0,23.0,4.0,5.0
2014-06-09,97.0,72.0,51.0,20.0,4.0,12.0
2014-06-10,159.0,57.0,61.0,18.0,1.0,6.0
2014-06-11,108.0,60.0,82.0,20.0,2.0,5.0
2014-06-12,88.0,81.0,91.0,22.0,5.0,8.0
2014-06-13,130.0,60.0,130.0,20.0,2.0,5.0
2014-06-14,109.0,120.0,132.0,28.0,10.0,11.0
2014-06-15,182.0,107.0,106.0,19.0,2.0,10.0
2014-06-16,197.0,86.0,70.0,17.0,2.0,8.0
2014-06-17,149.0,77.0,96.0,20.0,2.0,7.0
2014-06-18,142.0,108.0,64.0,21.0,3.0,11.0
2014-06-19,192.0,62.0,70.0,12.0,1.0,6.0
2014-06-20,112.0,63.0,80.0,15.0,3.0,8.0
2014-06-21,143.0,48.0,79.0,17.0,1.0,5.0
2014-06-22,94.0,41.0,95.0,21.0,1.0,4.0
2014-06-23,74.0,74.0,120.0,29.0,4.0,7.0
2014-06-24,136.0,85.0,61.0,25.0,9.0,10.0
2014-06-25,167.0,76.0,122.0,17.0,3.0,10.0
2014-06-26,192.0,34.0,50.0,21.0,1.0,4.0
2014-06-27,64.0,45.0,64.0,21.0,2.0,3.0
2014-06-28,66.0,69.0,122.0,26.0,9.0,12.0
2014-06-29,123.0,83.0,133.0,28.0,10.0,10.0
2014-06-30,155.0,94.0,127.0,21.0,19.0,10.0
2014-07-01,176.0,73.0,51.0,13.0,1.0,8.0
2014-07-02,143.0,111.0,72.0,21.0,3.0,12.0
2014-07-03,255.0,98.0,109.0,25.0,1.0,13.0
2014-07-04,259.0,70.0,99.0,20.0,1.0,10.0
2014-07-05,186.0,75.0,107.0,16.0,5.0,13.0
2014-07-06,244.0,109.0,105.0,23.0,6.0,10.0
2014-07-07,205.0,91.0,49.0,23.0,4.0,8.0
2014-07-08,146.0,56.0,53.0,27.0,1.0,5.0
2014-07-09,77.0,66.0,87.0,24.0,3.0,5.0
2014-07-10,89.0,61.0,61.0,20.0,2.0,4.0
2014-07-11,91.0,32.0,62.0,17.0,1.0,3.0
2014-07-12,49.0,48.0,54.0,22.0,1.0,4.0
2014-07-13,68.0,62.0,116.0,26.0,2.0,5.0
2014-07-14,93.0,86.0,104.0,14.0,3.0,5.0
2014-07-15,126.0,91.0,77.0,25.0,2.0,9.0
2014-07-16,180.0,100.0,60.0,22.0,3.0,19.0
2014-07-17,194.0,94.0,105.0,20.0,4.0,15.0
2014-07-18,190.0,67.0,80.0,16.0,1.0,6.0
2014-07-19,149.0,70.0,89.0,14.0,2.0,7.0
2014-07-20,150.0,40.0,42.0,13.0,2.0,5.0
2014-07-21,86.0,27.0,20.0,17.0,3.0,4.0
2014-07-22,52.0,51.0,32.0,32.0,3.0,7.0
